video,true_label,normal_conf,shuffle_conf,reverse_conf,pred_label,correct
real01.mp4,real,0.9959056377410889,0.9958540201187134,0.9960130453109741,fake,False
real02.mp4,real,0.9960381984710693,0.9959444403648376,0.9959315657615662,fake,False
real03.mp4,real,0.9960069060325623,0.9958844780921936,0.9957488775253296,fake,False
real04.mp4,real,0.9955087900161743,0.995517909526825,0.9952844977378845,fake,False
real05.mp4,real,0.9962180256843567,0.9962062835693359,0.9961857199668884,fake,False
fake01.mp4,fake,0.9958599209785461,0.9958056211471558,0.9959918856620789,fake,True
fake02.mp4,fake,0.9959996938705444,0.9960762858390808,0.9959250688552856,fake,True
fake03.mp4,fake,0.996026873588562,0.995927631855011,0.9957382678985596,fake,True
fake04.mp4,fake,0.9954738020896912,0.9949722290039062,0.9951032400131226,fake,True
fake05.mp4,fake,0.9961963891983032,0.9962253570556641,0.9962008595466614,fake,True
